date,close
1-May-12,5.29
1-Jun-12,5.33
1-Jul-12,5.69
1-Aug-12,6.73
1-Sep-12,10.22
1-Oct-12,9,34
1-Nov-12,10.11
1-Dec-12,10.68
1-Jan-13,11.22
1-Feb-13,15.21
1-Mar-13,30.11
15-Mar-13,35.78
1-Apr-13,100.37
15-Apr-13,260.76
1-May-13,116.99
15-May-13,114.22
1-Jun-13,129.3
15-Jun-13,99.51
1-Jul-13,88.05
15-Jul-13,98.4
1-Aug-13,104
15-Aug-13,109.99
